Field_subtype,rpd,Source,all fileds,Sources,like_fields,
litigationdetails ,xx,Real_foreclose_pre_running,Name,Real_foreclose_pre_running,,
assesordetails,xx,imapp_tax,Neighborhood Code,imapp_tax,,
MLS_agentdetals,x,RPD,NetOperatingIncome,"mls_x_o,imapp_X_C","NetOperatingIncome,Net Operating Income",
tracking,xx,kw_fsbo_X_C,Notes,kw_fsbo_X_C,,
MLS_agentdetals,x,RPD,NumberOfPets,RPD,,
litigationdetails ,xx,imapp_foreclose,Occupant Phone Number,imapp_foreclose,,
MLS_agentdetals,x,RPD,OfficeLeadType,RPD,,
MLS_agentdetals,x,RPD,OK2Adv_MLS,RPD,,
litigationdetails ,xx,Real_foreclose_pre_running,Opening Bid,Real_foreclose_pre_running,,
assesordetails,xx,imapp_tax,Opportunity Zone Description,imapp_tax,,
assesordetails,xx,imapp_tax,Opportunity Zone DescriptionProperty Address,imapp_tax,,
Ownerdetails,xx,imapp_foreclose,Owner Address - Country,imapp_foreclose,,
Ownerdetails,xx,imapp_tax,Owner Country,imapp_tax,,
Ownerdetails,xx,kw_fsbo_X_C,Owner Mailing Address,kw_fsbo_X_C,"Owner Address,Owner Address 1,Tax Address 1,TRUEMAILINGADDR1",
Ownerdetails,xx,kw_fsbo_X_C,Owner Mailing City,kw_fsbo_X_C,"Owner Address - City,Owner City,Tax City,TRUEMAILINGCITY",
Ownerdetails,xx,kw_fsbo_X_C,Owner Mailing State,kw_fsbo_X_C,"Owner State,Owner Address - State,Tax State,TRUEMAILINGSTATE",
Ownerdetails,xx,kw_fsbo_X_C,Owner Mailing Zip,kw_fsbo_X_C,"Owner Postal Code,Owner Zip Code,Owner Zip,Tax Zip Code,TRUEMAILINGZIPCODE",
Ownerdetails,xx,kw_fsbo_X_C,Owner Mailing Zip_4,kw_fsbo_X_C,Owner Zip plus 4,
Ownerdetails,xx,mls_x_o,Owner Name,mls_x_o,"Tax Owner,Owner Name 1,TRUEOWNER1",
Ownerdetails,xx,imapp_tax,Owner Name 2,imapp_tax,TRUEOWNER2,
Ownerdetails,xx,mls_x_o,Arch Owner Name,mls_x_o,Owner NameOne,
Ownerdetails,xx,imapp_tax,Arch Owner Name 2,imapp_tax,Owner NameTwo,
Ownerdetails,xx,mls_x_o,Arch First Name,mls_x_o,Owner First Name,
Ownerdetails,xx,imapp_tax,Arch Last Name,imapp_tax,Owner Last Name,
Ownerdetails,xx,imapp_tax,Owner_CareOf,imapp_tax,Owner Address 2,
,xx,kw_fsbo_X_C,OwnerOccupied,kw_fsbo_X_C,Owner Occupied,
Ownerdetails,xx,imapp_foreclose,OwnerHouse ,imapp_foreclose,Owner Address - House Number,
Ownerdetails,x,RPD,OwnerName,RPD,,
MLS_agentdetals,x,RPD,OwnerPays,RPD,,
Ownerdetails,x,RPD,OwnerPhone,RPD,,
